127.0.0.1 - - [22/Jan/2026:09:19:20 +0900] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [22/Jan/2026:09:19:20 +0900] "GET /projectEx/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jan/2026:09:19:20 +0900] "GET /projectEx/css/common.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jan/2026:09:19:20 +0900] "GET /projectEx/js/jquery-3.7.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jan/2026:09:19:20 +0900] "GET /projectEx/css/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jan/2026:09:19:20 +0900] "GET /projectEx/css/slideShow.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jan/2026:09:19:20 +0900] "GET /projectEx/css/menu.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jan/2026:09:19:20 +0900] "GET /projectEx/js/subMenu.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jan/2026:09:19:20 +0900] "GET /projectEx/image/prevButton.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jan/2026:09:19:20 +0900] "GET /projectEx/image/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jan/2026:09:19:20 +0900] "GET /projectEx/js/slideShow.js HTTP/1.1" 200 586
0:0:0:0:0:0:0:1 - - [22/Jan/2026:09:19:20 +0900] "GET /projectEx/image/slide_img_01.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jan/2026:09:19:20 +0900] "GET /projectEx/image/nextButton.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jan/2026:09:19:20 +0900] "GET /projectEx/image/slide_img_03.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jan/2026:09:19:20 +0900] "GET /projectEx/image/slide_img_05.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jan/2026:09:19:20 +0900] "GET /projectEx/image/slide_img_02.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jan/2026:09:19:20 +0900] "GET /projectEx/image/slide_img_04.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jan/2026:09:19:20 +0900] "GET /projectEx/image/controlButton1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jan/2026:09:36:23 +0900] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 849
0:0:0:0:0:0:0:1 - - [22/Jan/2026:09:39:50 +0900] "GET /projectEx/index.html HTTP/1.1" 200 4450
0:0:0:0:0:0:0:1 - - [22/Jan/2026:09:39:50 +0900] "GET /projectEx/css/slideShow.css HTTP/1.1" 200 861
0:0:0:0:0:0:0:1 - - [22/Jan/2026:09:39:50 +0900] "GET /projectEx/css/index.css HTTP/1.1" 200 201
0:0:0:0:0:0:0:1 - - [22/Jan/2026:09:39:50 +0900] "GET /projectEx/css/menu.css HTTP/1.1" 200 1534
0:0:0:0:0:0:0:1 - - [22/Jan/2026:09:39:50 +0900] "GET /projectEx/css/common.css HTTP/1.1" 200 193
0:0:0:0:0:0:0:1 - - [22/Jan/2026:09:39:50 +0900] "GET /projectEx/js/subMenu.js HTTP/1.1" 200 431
0:0:0:0:0:0:0:1 - - [22/Jan/2026:09:39:50 +0900] "GET /projectEx/js/jquery-3.7.1.min.js HTTP/1.1" 200 87533
0:0:0:0:0:0:0:1 - - [22/Jan/2026:09:39:50 +0900] "GET /projectEx/js/slideShow.js HTTP/1.1" 200 586
0:0:0:0:0:0:0:1 - - [22/Jan/2026:09:39:50 +0900] "GET /projectEx/image/prevButton.png HTTP/1.1" 200 1294
0:0:0:0:0:0:0:1 - - [22/Jan/2026:09:39:50 +0900] "GET /projectEx/image/logo.png HTTP/1.1" 200 13386
0:0:0:0:0:0:0:1 - - [22/Jan/2026:09:39:50 +0900] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 849
0:0:0:0:0:0:0:1 - - [22/Jan/2026:09:39:50 +0900] "GET /projectEx/image/nextButton.png HTTP/1.1" 200 1300
0:0:0:0:0:0:0:1 - - [22/Jan/2026:09:39:50 +0900] "GET /projectEx/image/slide_img_01.jpg HTTP/1.1" 200 157161
0:0:0:0:0:0:0:1 - - [22/Jan/2026:09:39:50 +0900] "GET /projectEx/image/slide_img_04.jpg HTTP/1.1" 200 312977
0:0:0:0:0:0:0:1 - - [22/Jan/2026:09:39:50 +0900] "GET /projectEx/image/controlButton1.png HTTP/1.1" 200 2961
0:0:0:0:0:0:0:1 - - [22/Jan/2026:09:39:50 +0900] "GET /projectEx/image/slide_img_05.jpg HTTP/1.1" 200 226718
0:0:0:0:0:0:0:1 - - [22/Jan/2026:09:39:50 +0900] "GET /projectEx/image/slide_img_02.jpg HTTP/1.1" 200 130185
0:0:0:0:0:0:0:1 - - [22/Jan/2026:09:39:50 +0900] "GET /projectEx/image/slide_img_03.jpg HTTP/1.1" 200 175567
0:0:0:0:0:0:0:1 - - [22/Jan/2026:09:46:13 +0900] "GET /projectEx/index.html HTTP/1.1" 200 4450
0:0:0:0:0:0:0:1 - - [22/Jan/2026:09:46:13 +0900] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 849
0:0:0:0:0:0:0:1 - - [22/Jan/2026:09:46:13 +0900] "GET /projectEx/css/common.css HTTP/1.1" 200 193
0:0:0:0:0:0:0:1 - - [22/Jan/2026:09:46:13 +0900] "GET /projectEx/css/menu.css HTTP/1.1" 200 1534
0:0:0:0:0:0:0:1 - - [22/Jan/2026:09:46:13 +0900] "GET /projectEx/js/subMenu.js HTTP/1.1" 200 431
0:0:0:0:0:0:0:1 - - [22/Jan/2026:09:46:13 +0900] "GET /projectEx/css/slideShow.css HTTP/1.1" 200 861
0:0:0:0:0:0:0:1 - - [22/Jan/2026:09:46:13 +0900] "GET /projectEx/css/index.css HTTP/1.1" 200 201
0:0:0:0:0:0:0:1 - - [22/Jan/2026:09:46:13 +0900] "GET /projectEx/image/logo.png HTTP/1.1" 200 13386
0:0:0:0:0:0:0:1 - - [22/Jan/2026:09:46:13 +0900] "GET /projectEx/image/prevButton.png HTTP/1.1" 200 1294
0:0:0:0:0:0:0:1 - - [22/Jan/2026:09:46:13 +0900] "GET /projectEx/js/jquery-3.7.1.min.js HTTP/1.1" 200 87533
0:0:0:0:0:0:0:1 - - [22/Jan/2026:09:46:13 +0900] "GET /projectEx/js/slideShow.js HTTP/1.1" 200 676
0:0:0:0:0:0:0:1 - - [22/Jan/2026:09:46:13 +0900] "GET /projectEx/image/nextButton.png HTTP/1.1" 200 1300
0:0:0:0:0:0:0:1 - - [22/Jan/2026:09:46:13 +0900] "GET /projectEx/image/slide_img_01.jpg HTTP/1.1" 200 157161
0:0:0:0:0:0:0:1 - - [22/Jan/2026:09:46:13 +0900] "GET /projectEx/image/slide_img_02.jpg HTTP/1.1" 200 130185
0:0:0:0:0:0:0:1 - - [22/Jan/2026:09:46:13 +0900] "GET /projectEx/image/slide_img_05.jpg HTTP/1.1" 200 226718
0:0:0:0:0:0:0:1 - - [22/Jan/2026:09:46:13 +0900] "GET /projectEx/image/slide_img_04.jpg HTTP/1.1" 200 312977
0:0:0:0:0:0:0:1 - - [22/Jan/2026:09:46:13 +0900] "GET /projectEx/image/slide_img_03.jpg HTTP/1.1" 200 175567
0:0:0:0:0:0:0:1 - - [22/Jan/2026:09:46:13 +0900] "GET /projectEx/image/controlButton1.png HTTP/1.1" 200 2961
0:0:0:0:0:0:0:1 - - [22/Jan/2026:09:46:50 +0900] "GET /projectEx/index.html HTTP/1.1" 200 4450
0:0:0:0:0:0:0:1 - - [22/Jan/2026:09:46:50 +0900] "GET /projectEx/css/index.css HTTP/1.1" 200 201
0:0:0:0:0:0:0:1 - - [22/Jan/2026:09:46:50 +0900] "GET /projectEx/css/common.css HTTP/1.1" 200 193
0:0:0:0:0:0:0:1 - - [22/Jan/2026:09:46:50 +0900] "GET /projectEx/js/slideShow.js HTTP/1.1" 200 715
0:0:0:0:0:0:0:1 - - [22/Jan/2026:09:46:50 +0900] "GET /projectEx/js/subMenu.js HTTP/1.1" 200 431
0:0:0:0:0:0:0:1 - - [22/Jan/2026:09:46:50 +0900] "GET /projectEx/css/slideShow.css HTTP/1.1" 200 861
0:0:0:0:0:0:0:1 - - [22/Jan/2026:09:46:50 +0900] "GET /projectEx/css/menu.css HTTP/1.1" 200 1534
0:0:0:0:0:0:0:1 - - [22/Jan/2026:09:46:50 +0900] "GET /projectEx/image/prevButton.png HTTP/1.1" 200 1294
0:0:0:0:0:0:0:1 - - [22/Jan/2026:09:46:50 +0900] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 849
0:0:0:0:0:0:0:1 - - [22/Jan/2026:09:46:50 +0900] "GET /projectEx/image/logo.png HTTP/1.1" 200 13386
0:0:0:0:0:0:0:1 - - [22/Jan/2026:09:46:50 +0900] "GET /projectEx/js/jquery-3.7.1.min.js HTTP/1.1" 200 87533
0:0:0:0:0:0:0:1 - - [22/Jan/2026:09:46:50 +0900] "GET /projectEx/image/nextButton.png HTTP/1.1" 200 1300
0:0:0:0:0:0:0:1 - - [22/Jan/2026:09:46:50 +0900] "GET /projectEx/image/slide_img_01.jpg HTTP/1.1" 200 157161
0:0:0:0:0:0:0:1 - - [22/Jan/2026:09:46:50 +0900] "GET /projectEx/image/slide_img_03.jpg HTTP/1.1" 200 175567
0:0:0:0:0:0:0:1 - - [22/Jan/2026:09:46:50 +0900] "GET /projectEx/image/slide_img_04.jpg HTTP/1.1" 200 312977
0:0:0:0:0:0:0:1 - - [22/Jan/2026:09:46:50 +0900] "GET /projectEx/image/slide_img_02.jpg HTTP/1.1" 200 130185
0:0:0:0:0:0:0:1 - - [22/Jan/2026:09:46:50 +0900] "GET /projectEx/image/slide_img_05.jpg HTTP/1.1" 200 226718
0:0:0:0:0:0:0:1 - - [22/Jan/2026:09:46:50 +0900] "GET /projectEx/image/controlButton1.png HTTP/1.1" 200 2961
0:0:0:0:0:0:0:1 - - [22/Jan/2026:09:46:51 +0900] "GET /projectEx/index.html HTTP/1.1" 200 4450
0:0:0:0:0:0:0:1 - - [22/Jan/2026:09:46:51 +0900] "GET /projectEx/css/common.css HTTP/1.1" 200 193
0:0:0:0:0:0:0:1 - - [22/Jan/2026:09:46:51 +0900] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 849
0:0:0:0:0:0:0:1 - - [22/Jan/2026:09:46:51 +0900] "GET /projectEx/css/index.css HTTP/1.1" 200 201
0:0:0:0:0:0:0:1 - - [22/Jan/2026:09:46:51 +0900] "GET /projectEx/css/slideShow.css HTTP/1.1" 200 861
0:0:0:0:0:0:0:1 - - [22/Jan/2026:09:46:51 +0900] "GET /projectEx/css/menu.css HTTP/1.1" 200 1534
0:0:0:0:0:0:0:1 - - [22/Jan/2026:09:46:51 +0900] "GET /projectEx/js/subMenu.js HTTP/1.1" 200 431
0:0:0:0:0:0:0:1 - - [22/Jan/2026:09:46:51 +0900] "GET /projectEx/js/jquery-3.7.1.min.js HTTP/1.1" 200 87533
0:0:0:0:0:0:0:1 - - [22/Jan/2026:09:46:51 +0900] "GET /projectEx/js/slideShow.js HTTP/1.1" 200 715
0:0:0:0:0:0:0:1 - - [22/Jan/2026:09:46:51 +0900] "GET /projectEx/image/logo.png HTTP/1.1" 200 13386
0:0:0:0:0:0:0:1 - - [22/Jan/2026:09:46:51 +0900] "GET /projectEx/image/prevButton.png HTTP/1.1" 200 1294
0:0:0:0:0:0:0:1 - - [22/Jan/2026:09:46:51 +0900] "GET /projectEx/image/nextButton.png HTTP/1.1" 200 1300
0:0:0:0:0:0:0:1 - - [22/Jan/2026:09:46:51 +0900] "GET /projectEx/image/slide_img_01.jpg HTTP/1.1" 200 157161
0:0:0:0:0:0:0:1 - - [22/Jan/2026:09:46:51 +0900] "GET /projectEx/image/slide_img_02.jpg HTTP/1.1" 200 130185
0:0:0:0:0:0:0:1 - - [22/Jan/2026:09:46:51 +0900] "GET /projectEx/image/slide_img_05.jpg HTTP/1.1" 200 226718
0:0:0:0:0:0:0:1 - - [22/Jan/2026:09:46:51 +0900] "GET /projectEx/image/slide_img_04.jpg HTTP/1.1" 200 312977
0:0:0:0:0:0:0:1 - - [22/Jan/2026:09:46:51 +0900] "GET /projectEx/image/slide_img_03.jpg HTTP/1.1" 200 175567
0:0:0:0:0:0:0:1 - - [22/Jan/2026:09:46:51 +0900] "GET /projectEx/image/controlButton1.png HTTP/1.1" 200 2961
0:0:0:0:0:0:0:1 - - [22/Jan/2026:09:46:59 +0900] "GET /projectEx/index.html HTTP/1.1" 200 4450
0:0:0:0:0:0:0:1 - - [22/Jan/2026:09:46:59 +0900] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 849
0:0:0:0:0:0:0:1 - - [22/Jan/2026:09:46:59 +0900] "GET /projectEx/css/common.css HTTP/1.1" 200 193
0:0:0:0:0:0:0:1 - - [22/Jan/2026:09:46:59 +0900] "GET /projectEx/css/index.css HTTP/1.1" 200 201
0:0:0:0:0:0:0:1 - - [22/Jan/2026:09:46:59 +0900] "GET /projectEx/css/menu.css HTTP/1.1" 200 1534
